Name ;Twitter;State;Party;Chamber
Adams, Alma;RepAdams;NC;D;House
Aderholt, Robert;Robert_Aderholt;AL;R;House
Aguilar, Pete;RepPeteAguilar;CA;D;House
Allen, Rick;RepRickAllen;GA;R;House
Allred, Colin;RepColinAllred;TX;D;House
Amodei, Mark;MarkAmodeiNV2;NV;R;House
Armstrong, Kelly;RepArmstrongND;ND;R;House
Arrington, Jodey;RepArrington;TX;R;House
Auchincloss, Jake;RepAuchincloss;MA;D;House
Axne, Cindy;RepCindyAxne;IA;D;House
Babin, Brian;RepBrianBabin;TX;R;House
Bacon, Don;RepDonBacon;NE;R;House
Baird, Jim;RepJimBaird;IN;R;House
Balderson, Troy;RepBalderson;OH;R;House
Banks, Jim;RepJimBanks;IN;R;House
Barr, Andy;RepAndyBarr;KY;R;House
Barragán, Nanette;RepBarragan;CA;D;House
Bass, Karen;RepKarenBass;CA;D;House
Beatty, Joyce;RepBeatty;OH;D;House
Bentz, Cliff;RepBentz;OR;R;House
Bera, Ami;RepBera;CA;D;House
Bergman, Jack;RepJackBergman;MI;R;House
Beyer, Don;RepDonBeyer;VA;D;House
Bice, Stephanie I.;RepBice;OK;R;House
Biggs, Andy;RepAndyBiggsAZ;AZ;R;House
Bilirakis, Gus M.;RepGusBilirakis;FL;R;House
Bishop Jr., Sanford D.;SanfordBishop;GA;D;House
Bishop, Dan;RepDanBishop;NC;R;House
Blumenauer, Earl;repblumenauer;OR;D;House
Blunt Rochester, Lisa;RepLBR;DE;D;House
Boebert, Lauren;RepBoebert;CO;R;House
Bonamici, Suzanne;RepBonamici;OR;D;House
Bost, Mike;RepBost;IL;R;House
Bourdeaux, Carolyn;RepBourdeaux;GA;D;House
Bowman, Jamaal;RepBowman;NY;D;House
Boyle, Brendan;CongBoyle;PA;D;House
Brady, Kevin;RepKevinBrady;TX;R;House
Brooks, Mo;RepMoBrooks;AL;R;House
Brown, Anthony;RepAnthonyBrown;MD;D;House
Brown, Shontel;RepShontelBrown;OH;D;House
Brownley, Julia;RepBrownley;CA;D;House
Buchanan, Vern;VernBuchanan;FL;R;House
Buck, Ken;RepKenBuck;CO;R;House
Bucshon, Larry;RepLarryBucshon;IN;R;House
Budd, Ted;RepTedBudd;NC;R;House
Burchett, Tim;RepTimBurchett;TN;R;House
Burgess, Michael;michaelcburgess;TX;R;House
Bush, Cori;RepCori;MO;D;House
Bustos, Cheri;RepCheri;IL;D;House
Butterfield, G.K.;GKButterfield;NC;D;House
Calvert, Ken;KenCalvert;CA;R;House
Cammack, Kat;RepKatCammack;FL;R;House
Carbajal, Salud;RepCarbajal;CA;D;House
Cardenas, Tony;RepCardenas;CA;D;House
Carey, Mike;RepMikeCarey;OH;R;House
Carl, Jerry L.;RepJerryCarl;AL;R;House
Carson, André;RepAndreCarson;IN;D;House
Carter, Buddy;RepBuddyCarter;GA;R;House
Carter, John;JudgeCarter;TX;R;House
Carter, Troy;RepTroyCarter;LA;D;House
Cartwright, Matt;RepCartwright;PA;D;House
Case, Ed;RepEdCase;HI;D;House
Casten, Sean;RepCasten;IL;D;House
Castor, Kathy;USRepKCastor;FL;D;House
Castro, Joaquin;JoaquinCastrotx;TX;D;House
Cawthorn, Madison;RepCawthorn;NC;R;House
Chabot, Steve;RepSteveChabot;OH;R;House
Cheney, Liz;RepLizCheney;WY;R;House
Cherfilus-McCormick, Sheila;CongresswomanSC;FL;D;House
Chu, Judy;RepJudyChu;CA;D;House
Cicilline, David;RepCicilline;RI;D;House
Clark, Katherine;RepKClark;MA;D;House
Clarke, Yvette D.;RepYvetteClarke;NY;D;House
Cleaver, Emanuel;repcleaver;MO;D;House
Cline, Ben;RepBenCline;VA;R;House
Cloud, Michael;RepCloudTX;TX;R;House
Clyburn, James E.;WhipClyburn;SC;D;House
Clyde, Andrew S.;Rep_Clyde ;GA;R;House
Cohen, Steve;RepCohen;TN;D;House
Cole, Tom;TomColeOK04;OK;R;House
Comer, James;RepJamesComer;KY;R;House
"Connolly, Gerald E. ""Gerry""";GerryConnolly;VA;D;House
Conway, Connie;RepConnieConway;CA;R;House
Cooper, Jim;repjimcooper;TN;D;House
Correa, J. Luis;RepLouCorrea;CA;D;House
Costa, Jim;RepJimCosta;CA;D;House
Courtney, Joe;RepJoeCourtney;CT;D;House
Craig, Angie;RepAngieCraig;MN;D;House
Crawford, Rick;RepRickCrawford;AR;R;House
Crenshaw, Dan;RepDanCrenshaw;TX;R;House
Crow, Jason;RepJasonCrow;CO;D;House
Cuellar, Henry;RepCuellar;TX;D;House
Curtis, John R.;RepJohnCurtis;UT;R;House
Davids, Sharice;RepDavids;KS;D;House
