congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0.0,USA,200.0,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
117,President,99913,99,0.0,USA,100.0,0,0,"BIDEN, Joseph Robinette (Joe), Jr.",B000444,1942.0,,-0.32,0.283,,,,,,,
117,House,20301,41,3.0,AL,200.0,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.379,0.377,-85.81,0.89936,809,31,,0.419,0.537
117,House,21102,41,7.0,AL,100.0,,,"SEWELL, Terri",S001185,1965.0,,-0.402,0.394,-22.17385,0.97351,826,9,,-0.492,0.476
117,House,21193,41,5.0,AL,200.0,,,"BROOKS, Mo",B001274,1954.0,,0.652,-0.417,-168.03035,0.8141,817,80,,0.697,-0.288
117,House,21500,41,6.0,AL,200.0,,,"PALMER, Gary James",P000609,1954.0,,0.672,0.108,-110.79282,0.87518,831,49,,0.648,0.245
117,House,22108,41,1.0,AL,200.0,,,"CARL, Jerry L.",C001054,1958.0,,0.55,0.239,-80.07435,0.90856,835,30,,0.51,0.568
117,House,22140,41,2.0,AL,200.0,,,"MOORE, Barry",M001212,1966.0,,0.647,-0.236,-154.01933,0.8297,825,77,,0.633,-0.132
117,House,29701,41,4.0,AL,200.0,,,"ADERHOLT, Robert",A000055,1965.0,,0.405,0.467,-127.71407,0.85706,828,55,,0.541,0.365
117,House,14066,81,1.0,AK,200.0,,,"YOUNG, Donald Edwin",Y000033,1933.0,2022.0,0.283,0.022,-83.13235,0.81484,406,33,,0.255,0.047
117,House,22168,81,1.0,AK,100.0,,,"PELTOLA, Mary Sattler",P000619,1973.0,,-0.138,0.378,-5.15177,0.95581,114,1,,-0.627,-0.363
117,House,21995,93,0.0,AS,200.0,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947.0,,0.327,0.195,,,,,,,
117,House,20305,61,3.0,AZ,100.0,,,"GRIJALVA, Raúl M.",G000551,1948.0,2025.0,-0.598,-0.264,-11.35376,0.98632,824,3,,-0.527,-0.305
117,House,20902,61,2.0,AZ,100.0,,,"KIRKPATRICK, Ann",K000368,1950.0,,-0.169,-0.01,-30.95096,0.96374,838,14,,-0.423,0.144
117,House,21103,61,4.0,AZ,200.0,,,"GOSAR, Paul",G000565,1958.0,,0.703,-0.519,-151.88995,0.83147,823,67,,0.733,-0.53
117,House,21105,61,6.0,AZ,200.0,,,"SCHWEIKERT, David",S001183,1962.0,,0.553,-0.219,-156.12152,0.82984,837,73,,0.549,-0.241
117,House,21502,61,7.0,AZ,100.0,,,"GALLEGO, Ruben",G000574,1979.0,,-0.357,0.139,-15.93648,0.98112,836,6,,-0.488,0.334
117,House,21705,61,5.0,AZ,200.0,,,"BIGGS, Andrew S.",B001302,1958.0,,0.818,-0.575,-127.70797,0.8577,832,54,,0.772,-0.636
117,House,21739,61,1.0,AZ,100.0,,,"O'HALLERAN, Thomas C.",O000171,1946.0,,-0.198,0.18,-27.28299,0.96759,828,7,,-0.298,0.492
117,House,21757,61,8.0,AZ,200.0,,,"LESKO, Debbie",L000589,1958.0,,0.616,-0.104,-131.80709,0.8423,768,51,,0.614,-0.139
117,House,21968,61,9.0,AZ,100.0,,,"STANTON, Greg",S001211,1970.0,,-0.282,0.265,-20.78657,0.97556,840,7,,-0.264,0.254
117,House,21106,42,1.0,AR,200.0,,,"CRAWFORD, Rick",C001087,1966.0,,0.462,0.302,-123.62474,0.86208,833,46,,0.558,0.339
117,House,21108,42,3.0,AR,200.0,,,"WOMACK, Steve",W000809,1957.0,,0.347,0.635,-78.67211,0.91059,840,34,,0.334,0.586
117,House,21503,42,2.0,AR,200.0,,,"HILL, French",H001072,1956.0,,0.435,0.28,-70.01513,0.9192,831,26,,0.398,0.353
117,House,21563,42,4.0,AR,200.0,,,"WESTERMAN, Bruce",W000821,1967.0,,0.543,0.26,-73.8784,0.91474,829,26,,0.537,0.375
117,House,15448,71,12.0,CA,100.0,,,"PELOSI, Nancy",P000197,1940.0,,-0.489,-0.175,-0.6097,0.99497,121,0,,-0.413,0.253
117,House,20104,71,28.0,CA,100.0,,,"SCHIFF, Adam",S001150,1960.0,,-0.353,-0.117,-16.38188,0.98069,840,7,,-0.457,-0.173
117,House,20107,71,50.0,CA,200.0,,,"ISSA, Darrell",I000056,1953.0,,0.476,0.032,-95.36689,0.88906,811,35,,0.418,0.252
117,House,20307,71,22.0,CA,200.0,,,"NUNES, Devin",N000181,1973.0,,0.45,0.223,-18.62697,0.95129,373,6,,0.456,0.68
117,House,20310,71,38.0,CA,100.0,,,"SÁNCHEZ, Linda T.",S001156,1969.0,,-0.507,-0.132,-10.61595,0.98735,834,4,,-0.453,-0.179
117,House,20501,71,16.0,CA,100.0,,,"COSTA, Jim",C001059,1952.0,,-0.199,0.449,-33.9108,0.95949,820,9,,-0.245,0.176
117,House,20538,71,6.0,CA,100.0,,,"MATSUI, Doris",M001163,1944.0,,-0.433,-0.148,-17.16371,0.97951,829,7,,-0.458,-0.035
117,House,20702,71,9.0,CA,100.0,,,"MCNERNEY, Jerry",M001166,1951.0,,-0.263,-0.159,-17.91455,0.97877,835,6,,-0.43,-0.142
117,House,20703,71,23.0,CA,200.0,,,"MCCARTHY, Kevin",M001165,1965.0,,0.453,0.233,-83.61265,0.90261,816,29,,0.457,0.304
117,House,20762,71,14.0,CA,100.0,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950.0,,-0.381,-0.41,-41.4487,0.94926,796,10,,-0.389,-0.11
117,House,20903,71,4.0,CA,200.0,,,"McCLINTOCK, Tom",M001177,1956.0,,0.671,-0.36,-227.97889,0.75728,820,104,,0.614,-0.418
117,House,20955,71,27.0,CA,100.0,,,"CHU, Judy",C001080,1953.0,,-0.479,-0.37,-14.47979,0.98287,838,4,,-0.573,-0.255
117,House,20958,71,3.0,CA,100.0,,,"GARAMENDI, John",G000559,1945.0,,-0.312,-0.102,-24.7249,0.97069,831,8,,-0.317,-0.175
117,House,21110,71,37.0,CA,100.0,,,"BASS, Karen",B001270,1953.0,,-0.584,-0.098,-20.59215,0.97437,793,3,,-0.553,-0.015
